molecule_chembl_id,canonical_smiles,STATUS,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4209192,CCC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC3CCCC3)nc2N1C1CCCC1,active,589.7850000000002,5.259700000000005,2.0,8.0,7.327902142064283
CHEMBL4251324,O=C(Cc1cccc(OCCCC2CCNCC2)c1)Nc1nc(-c2ccncc2)cs1,inactive,436.581,4.544900000000003,2.0,6.0,5.0
CHEMBL4245507,O=C(Cc1cccc(OCCCN2CCNCC2)c1)Nc1nc(-c2ccncc2)cs1,inactive,437.569,3.0604000000000005,2.0,7.0,5.0
CHEMBL4281348,CCNc1cc(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2C(F)(F)F)ccn1,active,434.84900000000005,6.4966000000000035,3.0,3.0,7.070581074285707
CHEMBL4276946,CC(=O)n1nc(C)c(-c2ccc(Cl)c(Cl)c2)c1N,inactive,284.146,3.4076200000000014,1.0,4.0,4.0
CHEMBL4285090,CC(=O)N[C@@H](Cc1cncn1CCCCCCCCc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,inactive,652.6860000000004,0.45860000000000395,7.0,9.0,4.886056647693163
CHEMBL4476226,CC(=O)N1CCN(c2ccc(Nc3ncc(C(F)(F)F)c(N4Cc5cccc(N(C)S(C)(=O)=O)c5C4)n3)cc2)CC1,active,589.644,3.823500000000003,1.0,8.0,8.05551732784983
CHEMBL4583439,NC(=O)c1sc2c([n+]1[O-])C(SC[C@H](N)C(=O)O)C(C(F)(F)F)=CC2[N+](=O)[O-],intermediate,428.37000000000006,0.4867000000000004,3.0,8.0,5.6020599913279625
CHEMBL4531713,NC(=O)c1sc2c([n+]1[O-])C(SC[C@H](N)C(=O)O)C(SC(F)(F)F)=CC2[N+](=O)[O-],active,460.43700000000007,1.1349000000000005,3.0,9.0,6.3979400086720375
CHEMBL4558162,Cc1ccc2c(c1)nc(CCN1C(=O)c3cccc4cccc(c34)C1=O)n2-c1ccncc1,inactive,432.4830000000001,4.720820000000004,0.0,5.0,5.0
CHEMBL1976040,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,active,500.60700000000026,2.8860000000000015,2.0,10.0,6.455931955649724
CHEMBL4438748,CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,inactive,457.4860000000002,4.128800000000003,2.0,6.0,5.0
CHEMBL4445650,O=C(CCNC(=O)c1ccc(CO)cc1)N[C@@H](Cc1cnnn1CCCCCCCCc1ccccc1)C(=O)NCc1cnnn1CCP(=O)(O)O,intermediate,737.7990000000002,2.2866999999999997,6.0,11.0,5.4723700991286615
CHEMBL4456099,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,active,478.6410000000004,4.542000000000004,1.0,7.0,8.00436480540245
CHEMBL4464826,CCOc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)[C@H](CC)C(=O)N2C,active,535.6930000000003,3.946900000000002,2.0,8.0,7.920818753952375
CHEMBL4469756,CCOc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1cccc(Br)c1)[C@H](CC)C(=O)N2C,active,636.595,4.967000000000004,2.0,8.0,6.958607314841775
CHEMBL4457809,CCOc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1ccccc1)[C@H](CC)C(=O)N2C,active,557.6990000000002,4.204500000000003,2.0,8.0,7.075720713938118
CHEMBL4451065,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1cccc(Br)c1)[C@H](CC)C(=O)N2C,active,593.5699999999999,5.952200000000006,1.0,7.0,6.267606240177032
CHEMBL4469087,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1ccccc1)[C@H](CC)C(=O)N2C,active,514.6740000000002,5.189700000000005,1.0,7.0,6.5376020021010435
CHEMBL4448214,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1cccc(Cl)c1)[C@H](CC)C(=O)N2C,active,549.1190000000001,5.843100000000006,1.0,7.0,6.267606240177032
CHEMBL4588843,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1cccc(C#N)c1)[C@H](CC)C(=O)N2C,intermediate,539.6840000000002,5.061380000000004,1.0,8.0,5.7447274948966935
CHEMBL4543331,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1sccc1C)[C@H](CC)C(=O)N2C,active,534.7300000000002,5.559620000000005,1.0,8.0,7.167491087293763
CHEMBL4449858,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1cc(C)cs1)[C@H](CC)C(=O)N2C,active,534.7300000000002,5.559620000000005,1.0,8.0,6.903089986991944
CHEMBL4468970,CC[C@@H]1C(=O)N(CCO)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OC)nc2N1C1CCCC1,active,522.6500000000004,3.7677000000000023,3.0,8.0,6.535212480354063
CHEMBL4592698,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OC)nc2N1C1CCCC1,active,492.6240000000004,4.405200000000003,2.0,7.0,7.854803593885818
CHEMBL4524869,CC[C@@H]1C(=O)N(COC)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OC)nc2N1C1CCCC1,intermediate,522.6500000000004,4.379300000000004,2.0,8.0,5.920818753952375
CHEMBL4450564,CC[C@@H]1C(=O)Nc2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OC)nc2N1C1CCCC1,active,478.5970000000005,4.380900000000004,3.0,7.0,7.283495836226783
CHEMBL4548940,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3O)nc2N1C1CCCC1,active,478.5970000000004,4.102200000000003,3.0,7.0,8.229884705212898
CHEMBL4454222,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3C)nc2N1C1CCCC1,active,476.6250000000004,4.705020000000005,2.0,6.0,8.24033215531037
CHEMBL4454586,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OCc3ccccc3)nc2N1C1CCCC1,active,568.7220000000001,5.975600000000005,2.0,7.0,6.053253064966415
CHEMBL4587599,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OCCOC)nc2N1C1CCCC1,active,536.6770000000004,4.421800000000004,2.0,8.0,6.462558716592053
CHEMBL4436925,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3CCO)nc2N1C1CCCC1,active,506.65100000000047,3.9314000000000027,3.0,7.0,7.992679047077256
CHEMBL4531932,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OCCO)nc2N1C1CCCC1,active,522.6500000000004,3.767700000000003,3.0,8.0,8.031050319018657
CHEMBL4450624,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OCCO)nc2N1C1CCCC1,active,551.6920000000002,2.9193000000000007,3.0,9.0,8.369572124974976
CHEMBL4519294,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCOCC4)cc3OCCO)nc2N1C1CCCC1,active,538.6490000000003,3.004100000000001,3.0,9.0,8.025949097207123
CHEMBL4515187,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C(C)C)CC4)cc3OCCO)nc2N1C1CCCC1,active,579.7460000000001,3.6979000000000015,3.0,9.0,7.762205006726077
CHEMBL4447251,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(C)=O)cc3OCCO)nc2N1C1CCCC1,active,453.54300000000035,3.297900000000002,2.0,8.0,8.239577516576787
CHEMBL4461041,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(N)=O)cc3OCCO)nc2N1C1CCCC1,active,454.53100000000035,2.1941999999999995,3.0,8.0,7.683610248926804
CHEMBL4566834,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC)cc3OCCO)nc2N1C1CCCC1,active,468.55800000000033,2.4549000000000003,3.0,8.0,7.805208242278075
CHEMBL4545446,CCNC(=O)c1ccc(Nc2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)c(OCCO)c1,active,482.5850000000004,2.8450000000000015,3.0,8.0,7.669992299127241
CHEMBL4448563,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC(C)C)cc3OCCO)nc2N1C1CCCC1,active,496.61200000000036,3.233500000000001,3.0,8.0,8.163675884293248
CHEMBL4574255,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CC4)cc3OCCO)nc2N1C1CCCC1,active,494.5960000000004,2.9875000000000007,3.0,8.0,7.5184140636323775
CHEMBL4574072,CCCNC(=O)c1ccc(Nc2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)c(OCCO)c1,active,496.6120000000005,3.235100000000002,3.0,8.0,7.389978975335855
CHEMBL4453584,CCCCNC(=O)c1ccc(Nc2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)c(OCCO)c1,active,510.63900000000046,3.625200000000002,3.0,8.0,7.4566770993530875
CHEMBL4576641,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NCCN4CCN(C)CC4)cc3OCCO)nc2N1C1CCCC1,active,580.7340000000002,2.072500000000001,3.0,10.0,7.673459331483438
