molecule_chembl_id,canonical_smiles,value,STATUS,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL4469087,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1ccccc1)[C@H](CC)C(=O)N2C,290.0,active,514.6740000000002,5.189700000000005,1.0,7.0
CHEMBL4448214,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1cccc(Cl)c1)[C@H](CC)C(=O)N2C,540.0,active,549.1190000000001,5.843100000000006,1.0,7.0
CHEMBL4588843,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1cccc(C#N)c1)[C@H](CC)C(=O)N2C,1800.0,intermediate,539.6840000000002,5.061380000000004,1.0,8.0
CHEMBL4543331,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1sccc1C)[C@H](CC)C(=O)N2C,68.0,active,534.7300000000002,5.559620000000005,1.0,8.0
CHEMBL4449858,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1cc(C)cs1)[C@H](CC)C(=O)N2C,125.0,active,534.7300000000002,5.559620000000005,1.0,8.0
CHEMBL4468970,CC[C@@H]1C(=O)N(CCO)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OC)nc2N1C1CCCC1,291.6,active,522.6500000000004,3.7677000000000023,3.0,8.0
CHEMBL4592698,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OC)nc2N1C1CCCC1,13.97,active,492.6240000000004,4.405200000000003,2.0,7.0
CHEMBL4524869,CC[C@@H]1C(=O)N(COC)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OC)nc2N1C1CCCC1,1200.0,intermediate,522.6500000000004,4.379300000000004,2.0,8.0
CHEMBL4450564,CC[C@@H]1C(=O)Nc2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OC)nc2N1C1CCCC1,52.06,active,478.5970000000005,4.380900000000004,3.0,7.0
CHEMBL4548940,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3O)nc2N1C1CCCC1,5.89,active,478.5970000000004,4.102200000000003,3.0,7.0
CHEMBL4454222,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3C)nc2N1C1CCCC1,5.75,active,476.6250000000004,4.705020000000005,2.0,6.0
CHEMBL4454586,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OCc3ccccc3)nc2N1C1CCCC1,884.6,active,568.7220000000001,5.975600000000005,2.0,7.0
CHEMBL4587599,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OCCOC)nc2N1C1CCCC1,344.7,active,536.6770000000004,4.421800000000004,2.0,8.0
CHEMBL4436925,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3CCO)nc2N1C1CCCC1,10.17,active,506.65100000000047,3.9314000000000027,3.0,7.0
CHEMBL4531932,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OCCO)nc2N1C1CCCC1,9.31,active,522.6500000000004,3.767700000000003,3.0,8.0
CHEMBL4450624,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OCCO)nc2N1C1CCCC1,4.27,active,551.6920000000002,2.9193000000000007,3.0,9.0
CHEMBL4519294,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCOCC4)cc3OCCO)nc2N1C1CCCC1,9.42,active,538.6490000000003,3.004100000000001,3.0,9.0
CHEMBL4515187,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C(C)C)CC4)cc3OCCO)nc2N1C1CCCC1,17.29,active,579.7460000000001,3.6979000000000015,3.0,9.0
CHEMBL4447251,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(C)=O)cc3OCCO)nc2N1C1CCCC1,5.76,active,453.54300000000035,3.297900000000002,2.0,8.0
CHEMBL4461041,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(N)=O)cc3OCCO)nc2N1C1CCCC1,20.72,active,454.53100000000035,2.1941999999999995,3.0,8.0
CHEMBL4566834,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC)cc3OCCO)nc2N1C1CCCC1,15.66,active,468.55800000000033,2.4549000000000003,3.0,8.0
CHEMBL4545446,CCNC(=O)c1ccc(Nc2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)c(OCCO)c1,21.38,active,482.5850000000004,2.8450000000000015,3.0,8.0
CHEMBL4448563,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC(C)C)cc3OCCO)nc2N1C1CCCC1,6.86,active,496.61200000000036,3.233500000000001,3.0,8.0
CHEMBL4574255,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CC4)cc3OCCO)nc2N1C1CCCC1,30.31,active,494.5960000000004,2.9875000000000007,3.0,8.0
CHEMBL4574072,CCCNC(=O)c1ccc(Nc2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)c(OCCO)c1,40.74,active,496.6120000000005,3.235100000000002,3.0,8.0
CHEMBL4453584,CCCCNC(=O)c1ccc(Nc2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)c(OCCO)c1,34.94,active,510.63900000000046,3.625200000000002,3.0,8.0
CHEMBL4576641,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NCCN4CCN(C)CC4)cc3OCCO)nc2N1C1CCCC1,21.21,active,580.7340000000002,2.072500000000001,3.0,10.0
